domain_accession,domain_name,domain_type,protein_start,protein_end,genomic_start,genomic_end,number_of_ta_sites,es_sites,gd_sites,ne_sites,ga_sites,mean_read_count,median_read_count,essential_fraction,es_or_gd_fraction,orf_id,gene_name,product,strand,protein_id,uniprot_accession
IPR036670,"SecA, preprotein cross-linking domain superfamily",homologous_superfamily,226,349,3619482,3619853,7,7,0,0,0,1.2,0.0,1.0,1.0,Rv3240c,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5
IPR044722,"SecA, C-terminal helicase domain",domain,398,611,3618696,3619337,9,9,0,0,0,0.9333333333333333,0.0,1.0,1.0,Rv3240c,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5
IPR008927,"6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily",homologous_superfamily,179,292,4045422,4045763,3,3,0,0,0,0.0,0.0,1.0,1.0,Rv3603c,,Rossmann-like and DUF2520 domain-containing protein,-,WP_003419533.1,O06279
IPR018931,Domain of unknown function DUF2520,domain,145,286,4045440,4045865,5,3,0,2,0,32.17999999999999,0.0,0.6,0.6,Rv3603c,,Rossmann-like and DUF2520 domain-containing protein,-,WP_003419533.1,O06279
IPR019665,"Putative oxidoreductase/dehydrogenase, Rossmann-like domain",domain,5,128,4045914,4046285,7,0,0,7,0,125.98571428571428,0.0,0.0,0.0,Rv3603c,,Rossmann-like and DUF2520 domain-containing protein,-,WP_003419533.1,O06279
IPR036291,NAD(P)-binding domain superfamily,homologous_superfamily,13,177,4045767,4046261,9,0,0,9,0,115.86666666666666,14.7,0.0,0.0,Rv3603c,,Rossmann-like and DUF2520 domain-containing protein,-,WP_003419533.1,O06279
IPR037108,"TM1727-like, C-terminal domain superfamily",homologous_superfamily,178,290,4045428,4045766,3,3,0,0,0,0.0,0.0,1.0,1.0,Rv3603c,,Rossmann-like and DUF2520 domain-containing protein,-,WP_003419533.1,O06279
IPR000489,Pterin-binding domain,domain,6,265,4049365,4050144,8,7,1,0,0,0.9875,0.0,0.875,1.0,Rv3608c,folP,dihydropteroate synthase,-,WP_003899596.1,P9WND1
IPR006390,Dihydropteroate synthase domain,domain,6,269,4049353,4050144,8,7,1,0,0,0.9875,0.0,0.875,1.0,Rv3608c,folP,dihydropteroate synthase,-,WP_003899596.1,P9WND1
IPR011005,Dihydropteroate synthase-like superfamily,homologous_superfamily,1,280,4049320,4050159,9,7,2,0,0,11.644444444444446,0.0,0.7777777777777778,1.0,Rv3608c,folP,dihydropteroate synthase,-,WP_003899596.1,P9WND1
IPR045031,Dihydropteroate synthase-like,family,7,270,4049350,4050141,8,7,1,0,0,0.9875,0.0,0.875,1.0,Rv3608c,folP,dihydropteroate synthase,-,WP_003899596.1,P9WND1
IPR001048,Aspartate/glutamate/uridylate kinase,domain,3,231,4152969,4153655,7,7,0,0,0,1.6428571428571428,0.0,1.0,1.0,Rv3709c,ask,aspartate kinase,-,WP_003419828.1,P9WPX3
IPR001341,Aspartate kinase,family,1,406,4152444,4153661,13,10,3,0,0,2.0615384615384618,0.0,0.7692307692307693,1.0,Rv3709c,ask,aspartate kinase,-,WP_003419828.1,P9WPX3
IPR002912,ACT domain,domain,267,352,4152606,4152863,4,1,3,0,0,3.825,3.45,0.25,1.0,Rv3709c,ask,aspartate kinase,-,WP_003419828.1,P9WPX3
IPR005260,"Aspartate kinase, monofunctional class",family,1,413,4152423,4153661,13,10,3,0,0,2.0615384615384618,0.0,0.7692307692307693,1.0,Rv3709c,ask,aspartate kinase,-,WP_003419828.1,P9WPX3
IPR018042,"Aspartate kinase, conserved site",conserved_site,5,13,4153623,4153649,1,1,0,0,0,8.4,8.4,1.0,1.0,Rv3709c,ask,aspartate kinase,-,WP_003419828.1,P9WPX3
IPR036393,Acetylglutamate kinase-like superfamily,homologous_superfamily,1,248,4152918,4153661,9,9,0,0,0,1.2777777777777777,0.0,1.0,1.0,Rv3709c,ask,aspartate kinase,-,WP_003419828.1,P9WPX3
IPR041740,Aspartokinase catalytic domain,domain,3,242,4152936,4153655,8,8,0,0,0,1.4375,0.0,1.0,1.0,Rv3709c,ask,aspartate kinase,-,WP_003419828.1,P9WPX3
IPR045865,ACT-like domain,homologous_superfamily,250,330,4152672,4152914,2,1,1,0,0,3.45,3.45,0.5,1.0,Rv3709c,ask,aspartate kinase,-,WP_003419828.1,P9WPX3
IPR045865,ACT-like domain,homologous_superfamily,332,409,4152435,4152668,2,0,2,0,0,4.2,4.2,0.0,1.0,Rv3709c,ask,aspartate kinase,-,WP_003419828.1,P9WPX3
IPR054352,"Aspartokinase, ACT domain",domain,347,405,4152447,4152623,1,0,1,0,0,8.4,8.4,0.0,1.0,Rv3709c,ask,aspartate kinase,-,WP_003419828.1,P9WPX3
IPR025565,Domain of unknown function DUF4328,domain,152,306,4315857,4316321,8,6,0,2,0,456.8,0.0,0.75,0.75,Rv3843c,,DUF4328 domain-containing protein,-,WP_003899726.1,P96235
IPR004268,Peptidoglycan biosynthesis protein MurJ,family,16,1145,4396820,4400209,52,34,0,0,18,1198.4865384615384,0.0,0.6538461538461539,0.6538461538461539,Rv3910,murJ,murein biosynthesis integral membrane protein MurJ,+,WP_003902580.1,P9WJK3
IPR011009,Protein kinase-like domain superfamily,homologous_superfamily,723,879,4398941,4399411,5,0,0,0,5,995.78,390.6,0.0,0.0,Rv3910,murJ,murein biosynthesis integral membrane protein MurJ,+,WP_003902580.1,P9WJK3
IPR001708,Membrane insertase YidC/ALB3/OXA1/COX18,family,38,274,4409425,4410135,17,16,0,1,0,2.3588235294117648,0.0,0.9411764705882353,0.9411764705882353,Rv3921c,yidC,membrane protein insertase YidC,-,WP_003899765.1,P9WIT5
IPR028055,"Membrane insertase YidC/Oxa/ALB, C-terminal",domain,38,277,4409416,4410135,17,16,0,1,0,2.3588235294117648,0.0,0.9411764705882353,0.9411764705882353,Rv3921c,yidC,membrane protein insertase YidC,-,WP_003899765.1,P9WIT5
IPR047196,"Membrane insertase YidC/ALB, C-terminal",domain,42,273,4409428,4410123,17,16,0,1,0,2.3588235294117648,0.0,0.9411764705882353,0.9411764705882353,Rv3921c,yidC,membrane protein insertase YidC,-,WP_003899765.1,P9WIT5
